University/Hospital,Country,Type of study,Number of Participants ,Number of Groups per study,"Pre Med or Medical Student  or Other:Psych,Dental,Massage Therapy, Kineselogy",Author,Year,Outcome in favor of usage of 3D tech,Technology,Results/limitations,What was carried out/measured, Highest knowledge level of medical VR application,Major Features/requirements
McMaster University,Canada,Randomized controlled study,87,2,Pre Med ,Garg ,2002,negative,3D anatomy model,Certain key or canonical viewpoints of an object are critically important for spatial learning. Multiple orientations provided by the computer-based anatomy software may offer minimal advantage to some learners.,Students were allocated to either multiple-view (MV) group (any of 36 possible angles) of rotation or a key-view and wiggle group (KV+W where students can control six views near 0 and 180 degree on computer workstation.,Level 2,"Human data form model,interaction"
McGill University,Canada,Randomized controlled study,60,2,Medical Student,Nicholson ,2006,positive,3D anatomy model,The intervention group’s mean on the quiz was higher than the mean score for the control group. The difference was significant.,"The intervention group completed a Web-based tutorial on ear anatomy that included the interactive model, while a control group took the tutorial without exposure to the model. At the end, both groups answered 15 quiz questions to evaluate their knowledge of 3-D relationships within the ear.",Level 2,"Human data form model,interaction"
Université Claude Bernard Lyon,France,Randomized controlled study,184,2,Pre Med,Guillot ,2007,neutral,"Spatial visualization model,3D anatomy model","Men scored better than women on both GEFT and MRT, but the gender effect was limited to the interaction with MRT ability in the anatomy learning process. Significant correlations were found between visuo-spatial, MR abilities, and anatomy examination results.","Students completed the Group Embedded Figures Test (GEFT), Mental Rotation Test (MRT) and Gordon Test of Visual Imagery Control. The time spent on personal assignment was also considered.",Level 1,"Visualization,Human data form model ,interaction"
Des Moines University,USA,Randomized controlled study,16,1,Pre med,Hisley ,2008,positive,"3D Imagery,3D anatomy model","All students, regardless of gender, dissection method, and anatomical region dissected performed significantly better on questions presented as rotating models requiring spatial ordering or viewpoint determination responses in contrast to requests for specific lexical feature identifications","The physical dissectors proceeded with their direct methods, whereas the digital dissectors generated and manipulated indirect 3D digital models. After 6 weeks, corresponding student anatomical assignment teams compared their results using photography and animated digital visualizations.",Level 3,"Visualization ,Human data form model,interaction"
McMaster University,Canada,Randomized controlled study,120,1,Other,Levinson ,2007,negative,Virtual Reality (VR),High degree of learner control may reduce effectiveness of learning. Multiple views may impede learning particularly for those with relatively poor spatial ability.,Two phases for intervention were described. Main outcome measure was 30-item post-test of brain surface anatomy structure identification.,Level 1,Visulization
University of Cincinnati College of Medicine,USA,Randomized controlled study,76,2,Pre Med,Marsh ,2008,positive,3D anatomy model,"Students who used the module performed better than those given only traditional resources. The findings suggest that the 3D computer-assisted-instruction modules in general are more useful if used toward the later stages of learning, rather than as an initial resource.",,Level 1,"Human data form model,Interaction"
University of Durham,UK,Cross-over study,89,2,Medical Student,Donnelly ,2009,neutral,"Virtual Reality (VR), 3D Imagery, 2D Imagery",There were no significant differences between the two groups at any tested stage.,"Using a crossover design, the investigation was undertaken as two 20-minute self-directed learning activities using VHD in a computer suite and prosections and models in the dissecting room, interspersed between 3 tests identifying anatomical structures (pre-, mid- and post-session).",Level 2,"Human data form model,Vizulization,Interaction"
Wuhan University,China,Controlled study,53,2,Pre Med,Hu ,2009,neutral,3D anatomy model,"The D3DM-assisted group worked faster, and no worse than the traditional group during the training in labs.","One group received their training program in the traditional way, unassisted by 3D technology. The second group received their training program in the traditional manner, but also used the D3DM to supplement their education.",Level 1,Human data form model
Sungkyunkwan University School of Medicine,Korea,Quasi-experimental study,70,2,Pre Med,Oh ,2009,positive,Physical Model,Clay modelling appears to be a useful supplement to conventional anatomy and radiologic anatomy education. Students’ average scores on CT examinations were higher than that of a group that did not use clay models.,"Two feedback surveys were completed by students. To assess the impact on learning, students who used the clay models and students from another school that did not use clay models were examined twice by each school; once after finishing the gross anatomy course and six months later.",Level 1,Human data form model
Universitié Paris v,France,Randomized controlled study,165,2,Pre Med,Abid ,2010,positive,3D anatomy model,The 3D technique is significantly more efficient than the traditional chalk technique for the teaching of peritoneal embryogenesis. However,Students from two universities were taught peritoneal embryogenesis either via a 3D technique (interactive DVD ROM) or via the traditional chalk technique. Both groups were subjected to an evaluation test including 34 questions,Level 2,interaction
